iter	Passed	Remaining
0	47	47192
1	47	23845
2	48	16026
3	48	12116
4	49	9859
5	50	8289
6	50	7171
7	51	6332
8	51	5678
9	52	5171
10	52	4751
11	53	4398
12	53	4096
13	54	3836
14	55	3613
15	55	3419
16	56	3248
17	56	3090
18	57	2950
19	57	2828
20	58	2714
21	58	2612
22	59	2523
23	60	2471
24	61	2405
25	62	2337
26	63	2275
27	63	2211
28	64	2158
29	65	2104
30	65	2055
31	66	2008
32	67	1965
33	67	1923
34	68	1882
35	68	1843
36	69	1806
37	70	1772
38	70	1738
39	71	1709
40	71	1680
41	72	1651
42	73	1624
43	73	1598
44	74	1588
45	76	1578
46	76	1558
47	77	1540
48	78	1519
49	78	1499
50	79	1479
51	80	1465
52	81	1455
53	82	1438
54	82	1422
55	83	1411
56	84	1397
57	85	1383
58	85	1369
59	86	1355
60	87	1340
61	87	1326
62	88	1313
63	88	1299
64	89	1287
65	90	1276
66	90	1264
67	91	1249
68	91	1237
69	92	1225
70	92	1215
71	93	1204
72	94	1195
73	94	1186
74	95	1176
75	95	1166
76	96	1157
77	97	1148
78	97	1140
79	98	1132
80	99	1126
81	100	1119
82	100	1113
83	101	1105
84	101	1095
85	102	1089
86	102	1079
87	103	1072
88	104	1064
89	104	1057
90	105	1050
91	105	1043
92	106	1037
93	107	1033
94	107	1027
95	108	1021
96	109	1014
97	109	1009
98	110	1005
99	112	1009
100	112	1004
101	113	996
102	113	990
103	114	985
104	114	979
105	115	974
106	116	970
107	116	965
108	117	960
109	118	954
110	118	949
111	119	944
112	119	941
113	120	936
114	121	931
115	121	925
116	121	920
117	122	915
118	123	910
119	123	906
120	124	902
121	124	898
122	125	892
123	125	888
124	126	884
125	126	879
126	127	875
127	127	870
128	128	867
129	129	863
130	129	859
131	130	855
132	130	851
133	131	847
134	131	843
135	132	840
136	132	836
137	133	832
138	133	829
139	134	826
140	135	822
141	135	819
142	136	817
143	137	814
144	137	811
145	138	809
146	139	807
147	139	803
148	140	800
149	140	797
150	141	794
151	141	792
152	142	789
153	143	786
154	143	783
155	144	779
156	144	776
157	145	773
158	145	770
159	146	766
160	146	764
161	147	761
162	147	758
163	148	755
164	149	756
165	150	754
166	151	755
167	152	752
168	152	750
169	153	748
170	153	746
171	154	744
172	155	741
173	155	739
174	156	737
175	157	735
176	157	732
177	157	729
178	158	727
179	159	724
180	159	720
181	159	717
182	160	715
183	160	712
184	161	710
185	161	707
186	162	705
187	162	702
188	163	700
189	163	698
190	164	696
191	165	695
192	165	693
193	166	692
194	167	690
195	167	689
196	168	687
197	169	686
198	170	684
199	170	683
200	171	681
201	171	678
202	172	676
203	172	674
204	173	672
205	174	671
206	174	669
207	175	667
208	175	665
209	176	662
210	176	660
211	177	659
212	178	657
213	178	656
214	179	654
215	180	653
216	180	651
217	181	650
218	181	648
219	182	647
220	183	646
221	184	645
222	184	643
223	185	642
224	185	640
225	186	638
226	187	637
227	187	635
228	188	633
229	188	632
230	189	630
231	189	628
232	190	626
233	190	624
234	191	623
235	192	621
236	192	620
237	193	619
238	194	617
239	194	616
240	195	614
241	195	613
242	196	611
243	197	611
244	198	610
245	198	608
246	199	607
247	199	605
248	200	604
249	201	603
250	201	601
251	202	600
252	202	598
253	203	597
254	203	595
255	204	593
256	204	592
257	205	592
258	206	591
259	207	589
260	207	587
261	208	586
262	208	585
263	209	584
264	210	582
265	211	582
266	211	581
267	212	579
268	212	578
269	213	576
270	213	575
271	214	573
272	214	572
273	215	571
274	216	570
275	216	568
276	217	567
277	217	565
278	218	564
279	218	562
280	219	561
281	219	560
282	220	558
283	221	557
284	221	555
285	222	554
286	222	553
287	223	552
288	223	550
289	224	549
290	225	548
291	226	547
292	226	547
293	227	546
294	228	545
295	228	543
296	229	542
297	229	541
298	230	540
299	231	539
300	231	537
301	232	536
302	232	534
303	233	533
304	233	532
305	234	531
306	234	530
307	235	528
308	236	528
309	237	527
310	237	527
311	238	526
312	239	525
313	240	524
314	240	523
315	241	522
316	241	521
317	242	520
318	243	519
319	243	517
320	244	516
321	244	515
322	245	513
323	245	512
324	246	511
325	246	510
326	247	509
327	248	508
328	248	507
329	249	505
330	249	504
331	250	503
332	251	502
333	251	502
334	252	501
335	253	500
336	253	498
337	254	497
338	254	496
339	255	495
340	255	494
341	256	493
342	257	492
343	257	491
344	258	489
345	258	488
346	259	487
347	259	486
348	260	485
349	260	484
350	261	482
351	261	481
352	262	480
353	262	479
354	263	478
355	264	478
356	265	478
357	266	477
358	266	476
359	267	475
360	267	474
361	268	473
362	269	472
363	269	471
364	270	470
365	270	468
366	271	467
367	271	466
368	272	465
369	272	464
370	273	463
371	274	462
372	274	461
373	275	460
374	275	459
375	276	458
376	277	457
377	277	456
378	278	455
379	278	454
380	279	453
381	280	453
382	280	452
383	281	451
384	282	450
385	282	449
386	283	448
387	283	447
388	284	446
389	285	446
390	285	444
391	286	443
392	286	442
393	287	441
394	287	440
395	288	439
396	288	438
397	289	437
398	289	436
399	290	435
400	291	435
401	291	434
402	292	433
403	292	432
404	293	431
405	294	430
406	295	430
407	295	429
408	296	428
409	296	427
410	297	426
411	297	425
412	298	424
413	299	423
414	299	422
415	300	421
416	300	420
417	301	419
418	301	418
419	302	417
420	302	416
421	303	415
422	303	414
423	304	413
424	304	412
425	305	411
426	305	410
427	306	409
428	307	408
429	307	407
430	308	407
431	309	406
432	309	405
433	310	404
434	311	403
435	311	403
436	312	402
437	312	401
438	313	400
439	313	399
440	314	398
441	315	397
442	315	396
443	316	396
444	316	395
445	317	394
446	317	393
447	318	392
448	319	391
449	319	391
450	320	390
451	321	389
452	321	388
453	322	387
454	322	386
455	323	386
456	324	385
457	324	384
458	325	383
459	326	382
460	326	381
461	327	380
462	327	379
463	328	379
464	328	378
465	329	377
466	329	376
467	330	375
468	330	374
469	331	373
470	331	372
471	332	371
472	333	371
473	333	370
474	334	369
475	334	368
476	335	367
477	336	367
478	336	366
479	337	365
