iter	Passed	Remaining
0	49	49767
1	51	25749
2	53	17842
3	55	13936
4	57	11528
5	59	9904
6	62	8829
7	64	7956
8	66	7275
9	68	6757
10	70	6343
11	72	5981
12	74	5664
13	76	5399
14	78	5170
15	80	4959
16	83	4803
17	85	4645
18	87	4507
19	90	4419
20	92	4315
21	93	4177
22	97	4147
23	99	4064
24	102	3982
25	104	3910
26	106	3825
27	107	3748
28	109	3674
29	111	3606
30	113	3542
31	115	3485
32	117	3429
33	119	3389
34	121	3341
35	122	3293
36	124	3249
37	126	3206
38	127	3153
39	129	3105
40	130	3059
41	132	3012
42	133	2968
43	134	2921
44	135	2873
45	136	2825
46	137	2780
47	137	2736
48	138	2695
49	140	2668
50	141	2628
51	142	2591
52	142	2550
53	143	2513
54	144	2480
55	145	2447
56	145	2414
57	146	2381
58	147	2351
59	148	2321
60	148	2290
61	149	2261
62	150	2234
63	150	2205
64	151	2176
65	151	2148
66	152	2121
67	152	2095
68	153	2070
69	153	2045
70	154	2024
71	155	2001
72	155	1980
73	156	1957
74	156	1936
75	157	1915
76	158	1895
77	158	1874
78	159	1855
79	159	1835
80	160	1816
81	160	1797
82	160	1776
83	161	1759
84	161	1742
85	162	1725
86	162	1708
87	163	1691
88	163	1675
89	164	1659
90	164	1643
91	165	1628
92	165	1613
93	165	1598
94	166	1584
95	166	1569
96	167	1555
97	167	1541
98	167	1527
99	168	1514
100	168	1500
101	169	1487
102	169	1475
103	169	1463
104	170	1451
105	170	1439
106	171	1427
107	171	1416
108	171	1405
109	172	1396
110	173	1386
111	173	1376
112	174	1365
113	174	1355
114	174	1345
115	175	1334
116	175	1324
117	175	1314
118	176	1304
119	176	1297
120	177	1288
121	178	1283
122	178	1274
123	179	1265
124	179	1256
125	179	1248
126	180	1239
127	180	1230
128	181	1222
129	181	1214
130	181	1206
131	182	1198
132	182	1190
133	183	1183
134	183	1175
135	183	1168
136	184	1161
137	184	1154
138	185	1147
139	185	1141
140	186	1134
141	186	1126
142	187	1120
143	187	1115
144	188	1108
145	188	1104
146	189	1098
147	189	1092
148	190	1085
149	190	1079
150	190	1073
151	191	1067
152	191	1061
153	192	1055
154	192	1049
155	192	1043
156	193	1037
157	193	1031
158	193	1025
159	194	1019
160	194	1013
161	194	1007
162	195	1002
163	195	997
164	195	991
165	196	986
166	196	981
167	197	976
168	197	971
169	197	966
170	198	961
171	198	956
172	199	951
173	199	947
174	200	943
175	200	938
176	200	934
177	201	930
178	201	926
179	202	922
180	202	917
181	203	913
182	203	909
183	204	904
184	204	900
185	204	896
186	205	892
187	205	887
188	205	883
189	206	879
190	206	875
191	207	871
192	207	867
193	207	863
194	208	859
195	208	855
196	208	851
197	209	848
198	209	844
199	210	840
200	210	836
201	210	832
202	211	829
203	211	825
204	211	821
205	212	818
206	212	814
207	213	811
208	213	807
209	213	804
210	214	801
211	214	798
212	215	796
213	215	792
214	216	789
215	216	787
216	217	784
217	217	781
218	218	778
219	218	775
220	219	772
221	219	769
222	219	765
223	220	762
224	220	759
225	221	756
226	221	753
227	221	750
228	222	747
229	222	744
230	222	741
231	223	738
232	223	735
233	223	733
234	224	730
235	224	727
236	225	724
237	225	721
238	225	718
239	226	716
240	226	713
241	226	710
242	227	707
243	227	705
244	228	702
245	228	700
246	228	697
247	229	695
248	229	693
249	230	690
250	230	688
251	231	686
252	231	683
253	231	681
254	232	678
255	232	676
256	233	674
257	233	671
258	234	669
259	234	667
260	234	664
261	235	662
262	235	660
263	235	657
264	236	655
265	236	653
266	237	650
267	237	648
268	237	646
269	238	643
270	238	641
271	238	639
272	239	637
273	239	635
274	240	632
275	240	630
276	240	628
277	241	626
278	241	624
279	241	622
280	242	619
281	242	617
282	243	615
283	243	613
284	243	611
285	244	609
286	244	607
287	245	606
288	245	604
289	246	603
290	246	601
291	247	599
292	247	597
293	248	596
294	248	594
295	249	592
296	249	590
297	250	588
298	250	587
299	250	585
300	251	583
301	251	581
302	251	579
303	252	577
304	252	575
305	253	573
306	253	572
307	253	570
308	254	568
309	254	566
310	254	564
311	255	563
312	255	561
313	256	559
314	256	557
315	256	555
316	257	554
317	257	552
318	258	550
319	258	549
320	259	548
321	260	547
322	260	546
323	261	545
324	261	543
325	262	541
326	262	540
327	262	538
328	263	537
329	263	535
330	264	533
331	264	532
332	264	530
333	265	529
334	265	527
335	266	525
336	266	524
337	266	522
338	267	520
339	267	519
340	267	517
341	268	516
342	268	514
343	268	512
344	269	511
345	269	509
346	270	508
347	270	506
348	270	505
349	271	503
350	271	501
351	271	500
352	272	498
353	272	497
354	272	495
355	273	494
356	273	492
357	275	494
358	276	493
359	276	491
360	277	490
361	277	488
362	277	487
363	278	486
364	278	484
365	279	483
366	279	482
367	279	480
368	280	479
369	280	477
370	281	476
371	281	475
372	281	473
373	282	472
374	282	470
375	282	469
376	283	468
377	283	466
378	283	465
379	284	463
380	284	462
381	285	461
382	285	459
383	285	458
384	286	457
385	286	455
386	287	454
387	287	453
388	287	452
389	288	450
390	288	449
391	288	448
392	289	446
393	289	445
394	290	444
395	290	443
396	291	442
397	291	440
398	291	439
399	292	438
400	292	437
401	293	436
402	293	435
403	294	434
404	294	432
405	295	431
406	295	430
407	295	429
408	296	428
409	296	426
410	296	425
411	297	424
412	297	423
413	298	421
414	298	420
415	298	419
416	299	418
417	299	417
418	299	415
419	300	414
420	300	413
421	301	412
422	301	411
423	301	409
424	302	408
425	302	407
426	302	406
427	303	405
428	303	404
429	304	403
430	304	401
431	305	401
432	306	401
433	306	400
434	307	399
435	307	398
436	308	397
437	308	396
438	309	395
439	309	394
440	310	392
441	310	391
442	310	390
443	311	390
444	312	389
445	312	388
446	312	387
447	313	385
448	313	384
449	313	383
450	314	382
451	314	381
452	315	380
453	315	379
454	315	378
455	316	377
456	316	376
457	316	375
458	317	373
459	317	372
460	317	371
461	318	370
462	318	369
463	319	368
464	319	367
465	319	366
466	320	365
467	321	365
468	321	363
469	321	363
470	322	362
471	322	361
472	323	360
473	323	359
474	324	358
475	324	357
476	325	356
477	325	355
478	325	354
479	326	353
480	326	352
481	326	351
482	327	350
483	327	349
484	328	348
485	328	347
486	328	346
487	329	345
488	329	344
489	329	343
490	330	342
491	330	341
492	330	340
493	331	339
494	331	338
495	332	337
496	332	336
497	332	335
498	333	334
499	333	333
500	334	332
501	334	331
502	335	331
503	335	330
504	335	329
505	336	328
506	336	327
507	337	326
508	337	325
509	337	324
510	338	323
511	338	322
512	339	322
513	339	321
514	340	320
515	340	319
516	341	318
517	341	317
518	341	316
519	342	315
520	342	315
521	343	314
522	343	313
523	343	312
524	344	311
525	344	310
526	345	309
527	345	308
528	345	307
529	346	306
530	346	306
531	346	305
532	347	304
533	347	303
534	348	302
535	348	301
536	348	300
537	349	299
538	349	299
539	350	298
540	350	297
541	350	296
542	351	295
543	351	294
544	352	294
545	352	293
546	353	292
547	353	291
548	353	290
549	354	289
550	354	289
551	355	288
552	355	287
553	355	286
554	356	285
555	356	284
556	357	283
557	357	283
558	357	282
559	358	281
560	358	280
561	358	279
562	359	278
563	359	278
564	360	277
565	360	276
566	360	275
567	361	274
568	361	273
569	361	272
570	362	272
571	362	271
572	363	270
573	363	269
574	363	268
575	364	268
576	364	267
577	364	266
578	365	265
579	365	265
580	366	264
581	366	263
582	367	262
583	367	261
584	368	261
585	368	260
586	368	259
587	369	258
588	369	257
589	370	257
590	370	256
591	370	255
592	371	254
593	371	254
594	372	253
595	372	252
596	372	251
597	373	250
598	373	250
599	373	249
600	374	248
601	374	247
602	375	246
603	375	246
604	375	245
605	376	244
606	376	243
607	376	243
608	377	242
609	377	241
610	378	240
611	378	239
612	378	239
613	379	238
614	379	237
615	380	236
616	380	236
617	381	235
618	381	234
619	382	234
620	382	233
621	382	232
622	383	231
623	383	231
624	384	230
625	384	229
626	384	228
627	385	228
628	385	227
629	386	226
